instance,method,seed,value,time,evaluations,feasible,gen_to_best,final_diversity
OR10x100-0.25_1.dat,GA,0,22862.0,1.961485529998754,19700,True,12,0.02182
OR10x100-0.25_1.dat,GA,1,22833.0,2.1831018079974456,19700,True,26,0.016996
OR10x100-0.25_1.dat,GA,2,22803.0,2.6175209140019433,19700,True,9,0.021916
OR10x100-0.25_1.dat,GA,3,22973.0,1.7970860450004693,19700,True,11,0.034412000000000005
OR10x100-0.25_1.dat,GA,4,23050.0,2.21867537900107,19700,True,41,0.023824000000000005
OR10x100-0.25_1.dat,GA,5,22798.0,2.5725594720024674,19700,True,92,0.035031999999999994
OR10x100-0.25_1.dat,GA,6,23057.0,2.4013970810010505,19700,True,10,0.025680000000000005
OR10x100-0.25_1.dat,GA,7,22915.0,1.7953506869998819,19700,True,15,0.020588000000000006
OR10x100-0.25_1.dat,GA,8,22998.0,2.510571816997981,19700,True,130,0.030088000000000007
OR10x100-0.25_1.dat,GA,9,22810.0,2.623268661998736,19700,True,78,0.029015999999999997
OR10x100-0.25_1.dat,GA-FIX-UX+BF3,0,22960.0,2.287595523001073,19700,True,21,0.076616
OR10x100-0.25_1.dat,GA-FIX-UX+BF3,1,22960.0,2.45928158300012,19700,True,62,0.07248800000000002
OR10x100-0.25_1.dat,GA-FIX-UX+BF3,2,22960.0,2.460442449999391,19700,True,28,0.08377600000000002
OR10x100-0.25_1.dat,GA-FIX-UX+BF3,3,23050.0,2.0170157569991716,19700,True,19,0.07970000000000002
OR10x100-0.25_1.dat,GA-FIX-UX+BF3,4,23006.0,2.258997314998851,19700,True,134,0.12241200000000002
OR10x100-0.25_1.dat,GA-FIX-UX+BF3,5,23057.0,2.0548230620006507,19700,True,118,0.10948400000000003
OR10x100-0.25_1.dat,GA-FIX-UX+BF3,6,23006.0,2.2322324460001255,19700,True,173,0.1589
OR10x100-0.25_1.dat,GA-FIX-UX+BF3,7,22942.0,2.179429063999123,19700,True,26,0.09590400000000003
OR10x100-0.25_1.dat,GA-FIX-UX+BF3,8,22942.0,2.0714263250010845,19700,True,25,0.09290000000000002
OR10x100-0.25_1.dat,GA-FIX-UX+BF3,9,22850.0,1.94884592499875,19700,True,4,0.06584800000000002
OR10x100-0.25_1.dat,GA-QL,0,23001.0,2.474333951002336,19700,True,24,0.08007600000000002
OR10x100-0.25_1.dat,GA-QL,1,22960.0,3.18150664699715,19700,True,76,0.05008400000000002
OR10x100-0.25_1.dat,GA-QL,2,23025.0,2.317475503998139,19700,True,48,0.06989600000000001
OR10x100-0.25_1.dat,GA-QL,3,22960.0,2.9711982640001224,19700,True,42,0.049472000000000016
